"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Alex Bachman","NYG","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Braxton Berrios","NYJ","15","WR","53","37","1","394","0","3","1","4","69.8","7.68","7.43","10.65","6","9","6","3","17","16.2","100","3","1","5.7","2.7","33.3","3","0","29","0","0","0","9.67","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","97.3","0.34","2.43"
"Terry Godwin II","JAX","3","WR","6","3","0","32","0","0","0","1","50","12","5.33","10.67","1","2","1","0","33.3","33.3","0","0","0","0","0","0","1","0","3","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5","0.13","1.63"
"Christian Blake","ATL","16","WR","18","13","0","141","0","0","0","1","72.2","9.56","7.83","10.85","2","5","3","0","27.8","23.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.1","0.1","2.08"
"D.K. Metcalf","SEA","16","WR","124","83","5","1303","5","10","2","10","66.9","13.87","10.51","15.7","4.43","39","21","9","31.5","25.3","90","14","6","11.3","7.2","60","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","273.3","0.28","3.29"
"Marquez Valdes-Scantling","GB","16","WR","60","33","6","690","1","6","4","7","55","18.23","11.5","20.91","7.33","19","6","4","31.7","18.2","66.7","3","1","5","3","16.7","4","0","13","0","0","0","3.25","3.75","1","0.25","1","2","0","50","0","0","0","0","0","0","0","139.3","0.18","3.76"
"D.J. Chark Jr.","JAX","13","WR","92","53","2","706","1","5","1","5","57.6","14.64","7.67","13.32","3.19","18","7","4","19.6","13.2","80","8","3","8.7","5.7","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","153.6","0.22","2.9"
"Scotty Miller","TB","16","WR","52","33","3","501","1","3","1","2","63.5","16.44","9.63","15.18","3.27","14","8","3","26.9","24.2","100","5","2","9.6","6.1","66.7","3","0","14","0","0","0","4.67","2.33","1","0.33","0","1","0","33.3","0","0","0","0","0","0","0","102.5","0.23","2.85"
"Deontay Burnett","PHI","2","WR","3","3","0","19","0","0","0","0","100","4.67","6.33","6.33","1.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.9","0.08","1.63"
"Van Jefferson","LA","15","WR","28","19","0","220","0","1","0","2","67.9","11.5","7.86","11.58","2.58","5","4","1","17.9","21.1","100","0","0","0","0","0","1","0","-1","0","0","0","-1","3","0","0","1","0","0","0","0","0","0","0","0","0","0","46.9","0.18","2.34"
"DaeSean Hamilton","DEN","16","WR","42","23","1","293","0","2","1","3","54.8","14.19","6.98","12.74","4.13","16","7","1","38.1","30.4","50","4","1","9.5","4.3","50","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","64.3","0.12","2.8"
"Olamide Zaccheaus","ATL","11","WR","30","20","2","274","1","1","1","2","66.7","14.6","9.13","13.7","3.15","5","2","1","16.7","10","100","3","1","10","5","100","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","53.4","0.17","2.54"
"Marquez Callaway","NO","11","WR","23","21","0","213","0","0","0","0","91.3","8.35","9.26","10.14","2.81","5","4","0","21.7","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.3","0.16","2.01"
"Tyrie Cleveland","DEN","9","WR","8","6","0","63","0","0","0","0","75","8.75","7.88","10.5","3.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.3","0.17","2.05"
"Preston Williams","MIA","8","WR","33","18","1","288","1","4","0","3","54.5","15.3","8.73","16","2.5","12","7","4","36.4","38.9","100","4","2","12.1","11.1","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","70.8","0.21","3.93"
"Kirk Merritt","MIA","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tyron Johnson","LAC","12","WR","26","20","4","398","0","3","1","0","76.9","20.35","15.31","19.9","3.2","9","6","3","34.6","30","100","2","1","7.7","5","33.3","3","0","17","0","0","0","5.67","2.67","0","0","0","0","0","0","0","0","0","0","0","0","0","79.5","0.3","3.46"
"Diontae Johnson","PIT","15","WR","139","88","4","923","2","7","0","14","63.3","8.5","6.64","10.49","4.57","24","12","7","17.3","13.6","100","9","5","6.5","5.7","71.4","3","0","15","0","0","0","5","2.67","1","0.33","1","1","0","33.3","0","0","0","0","0","0","0","223.8","0.31","2.46"
"Quintez Cephus","DET","13","WR","32","20","1","349","0","2","1","2","62.5","14.91","10.91","17.45","4.1","9","3","2","28.1","15","100","4","2","12.5","10","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","66.9","0.18","3.35"
"Richie James Jr.","SF","11","WR","33","23","4","394","1","1","1","3","69.7","10.55","11.94","17.13","8.48","4","3","1","12.1","13","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.4","0.17","2.97"
"Kristian Wilkerson","NE","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Bryan Edwards","LV","12","WR","14","11","0","193","0","1","0","0","78.6","9.86","13.79","17.55","7","2","1","1","14.3","9.1","100","2","1","14.3","9.1","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.3","0.14","3.3"
"Austin Mack","NYG","11","WR","12","7","1","91","0","0","0","1","58.3","9.75","7.58","13","5.43","3","1","0","25","14.3","0","2","0","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.1","0.08","2.3"
"Ja'Marcus Bradley","CLV","3","WR","10","5","0","60","0","0","0","0","50","12.3","6","12","2.4","3","1","0","30","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0.12","2.2"
"Freddie Swain","SEA","16","WR","19","13","0","159","0","2","0","0","68.4","12.58","8.37","12.23","7.77","10","5","2","52.6","38.5","100","4","1","21.1","7.7","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.9","0.12","3.15"
"Darius Slayton","NYG","16","WR","94","50","2","751","2","3","1","6","53.2","14.19","7.99","15.02","3.14","20","6","3","21.3","12","100","9","3","9.6","6","100","2","0","-1","0","0","0","-0.5","0.5","0","0","1","1","0","50","0","0","0","0","0","0","0","143","0.16","2.75"
"Fred Brown","DEN","1","WR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
