"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Jonnu Smith","NE","14","TE","37","27","1","245","0","0","0","0","73","3.43","6.62","9.07","7.48","7","4","0","18.9","14.8","0","1","0","2.7","0","0","1","0","5","0","0","0","5","0","0","0","1","1","0","100","0","0","0","0","0","0","0","52","0.12","1.86"
"Gerald Everett","LAC","16","TE","82","58","0","555","0","4","0","5","70.7","6.11","6.77","9.57","5.78","17","10","4","20.7","17.2","100","5","2","6.1","3.4","50","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","137.5","0.21","2.33"
"David Njoku","CLV","14","TE","79","58","0","628","0","4","0","4","73.4","7.77","7.95","10.83","5.88","23","14","4","29.1","24.1","100","7","2","8.9","3.4","50","2","0","-8","0","0","0","-4","3","0","0","1","0","0","0","0","0","0","0","0","0","0","144","0.18","2.4"
"O.J. Howard","HST","13","TE","23","10","0","145","0","2","0","1","43.5","10.22","6.3","14.5","5.9","6","2","2","26.1","20","100","2","0","8.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.5","0.12","3.65"
"Stephen Anderson","ARZ","15","TE","7","3","0","9","0","0","0","3","42.9","5.57","1.29","3","2","2","0","0","28.6","0","0","1","0","14.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9","0.03","1.3"
"J.P. Holtz","NO","6","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"Tyler Higbee","LA","17","TE","104","72","0","620","0","3","0","6","69.2","3.21","5.96","8.61","5.69","19","11","3","18.3","15.3","100","6","2","5.8","2.8","66.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","152","0.17","2.11"
"Nick Vannett","NYG","9","TE","9","6","0","55","0","0","0","0","66.7","3.56","6.11","9.17","5.17","1","1","0","11.1","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.5","0.06","1.92"
"Austin Hooper","TEN","17","TE","56","41","0","444","0","2","0","1","73.2","8.48","7.93","10.83","3.27","10","8","2","17.9","19.5","100","3","2","5.4","4.9","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.4","0.19","2.38"
"Hunter Henry","NE","17","TE","57","41","0","509","0","2","0","3","71.9","7.91","8.93","12.41","5.02","10","3","1","17.5","7.3","50","2","0","3.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103.9","0.13","2.53"
"Chris Manhertz","JAX","17","TE","8","6","0","42","0","0","0","1","75","2.63","5.25","7","5.83","1","1","0","12.5","16.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.2","0.02","1.7"
"Geoff Swaim","TEN","17","TE","16","12","0","58","0","1","0","2","75","2.06","3.63","4.83","3.83","4","2","1","25","16.7","100","1","0","6.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.8","0.04","1.98"
"Darren Waller","LV","9","TE","42","28","0","388","0","3","0","2","66.7","14","9.24","13.86","2.75","16","8","3","38.1","28.6","100","7","1","16.7","3.6","33.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","84.8","0.25","3.03"
"C.J. Uzomah","NYJ","15","TE","26","21","1","232","0","2","1","1","80.8","6.62","8.92","11.05","5.19","4","3","2","15.4","14.3","100","1","1","3.8","4.8","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56.2","0.11","2.68"
"Maxx Williams","ARZ","11","TE","3","3","0","18","0","0","0","0","100","4","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.8","0.03","1.6"
"Logan Thomas","WAS","14","TE","57","39","0","323","0","1","0","2","68.4","7.02","5.67","8.28","3.36","12","7","1","21.1","17.9","100","3","0","5.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.3","0.11","1.98"
"Richard Rodgers","LAC","10","TE","2","1","0","4","0","0","0","0","50","4.5","2","4","3","1","0","0","50","0","0","1","0","50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4","0.01","1.4"
"Kyle Rudolph","TB","9","TE","5","3","0","28","0","1","0","1","60","10.6","5.6","9.33","1","2","1","1","40","33.3","100","2","1","40","33.3","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.8","0.15","3.93"
