player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rzRecTarg,rzRecRec,rzRecTds,rzRecTargPct,rzRecRecPct,rzRecTdPct,ezRecTarg,ezRecTds,ezRecTargPct,ezRecRecPct,ezRecTdPct,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,tat,fumbles,rzRushCarries,rzRushTds,rzRushPct,rzRushTdPct,i5RushCarries,i5RushTds,i5RushPct,i5RushTdPct,patConversions,patAttempts,fantasyPts,ptsPerSnap,ptsPerTouch
Jarvis Landry,NO,9,WR,37,25,1,272,1,1,0,0,67.6,9.65,7.35,10.88,2.48,11,6,1,29.7,24,100,4,1,10.8,4,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,58.2,0.19,2.33
Ray-Ray McCloud III,SF,17,WR,21,14,1,243,0,1,0,2,66.7,13.24,11.57,17.36,6.79,4,3,1,19,21.4,100,1,1,4.8,7.1,100,4,1,78,0,1,1,19.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1,0.2,3.23
Kendall Hinton,DEN,12,WR,31,24,0,311,0,0,0,3,77.4,8.74,10.03,12.96,5.63,4,3,0,12.9,12.5,0,1,0,3.2,0,0,2,0,13,0,0,0,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,0.12,2.17
Rashod Bateman,BLT,6,WR,28,15,2,285,1,2,2,5,53.6,13.18,10.18,19,9.13,5,2,1,17.9,13.3,50,1,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,55.5,0.29,3.7
Chosen Anderson,ARZ,16,WR,43,20,1,282,1,1,1,1,46.5,14.56,6.56,14.1,4.85,8,2,0,18.6,10,0,2,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54.2,0.11,2.71
Braxton Berrios,NYJ,16,WR,31,18,0,145,0,0,0,2,58.1,6.74,4.68,8.06,5.28,8,4,0,25.8,22.2,0,1,0,3.2,0,0,9,0,91,0,2,0,10.11,2.56,1,0.11,0,2,2,22.2,100,0,0,0,0,0,0,53.6,0.18,1.99
Tre'Quan Smith,NO,15,WR,26,19,1,278,1,1,0,1,73.1,13,10.69,14.63,3.26,9,6,1,34.6,31.6,100,1,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.8,0.13,2.78
Damiere Byrd,ATL,14,WR,22,13,2,268,0,2,2,1,59.1,20.5,12.18,20.62,8,4,0,0,18.2,0,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.8,0.17,3.98
Phillip Dorsett,HST,15,WR,39,20,0,257,0,1,0,2,51.3,11.54,6.59,12.85,2.85,11,6,1,28.2,30,100,1,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7,0.11,2.58
Wan'Dale Robinson,NYG,6,WR,30,23,0,227,1,1,0,2,76.7,6.07,7.57,9.87,5.52,5,3,1,16.7,13,100,0,0,0,0,0,2,0,-1,0,0,0,-0.5,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,51.6,0.23,2.06
